,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1996-01-31,89025.85714285714,124553.0,99709.5,60185.41176470588,168274.57894736843,132751.15384615384,159103.2,118556.0,178086.0,91806.24,67738.41379310345,254966.66666666666,99229.0,82260.16666666667,93019.25,81815.6,73813.0,72794.21428571429,60986.25,88474.5,123388.2,139477.85714285713,82664.65217391304,94079.33333333333,,78065.66666666667,,87429.0,161196.25,88565.83333333333,124267.5,,74757.0,90207.43478260869,,77733.7741935484,49721.6,120546.61538461539,81663.66666666667,132598.0,108009.0,41255.0,74725.64,91636.11111111111,158564.0,105196.75,88103.75,130545.0,54095.666666666664,87316.75,
1996-02-29,89121.71428571429,124973.0,97062.55555555556,60153.470588235294,167734.63157894736,133154.3076923077,158719.4,118519.0,177863.0,91887.72,68708.03333333334,253730.33333333334,99080.0,82246.0,93454.25,81960.6,73874.0,72970.14285714286,61223.0,88147.0,123305.4,139394.42857142858,82980.13043478261,94097.33333333333,,78249.0,,87648.0,161229.5,88300.16666666667,124037.25,,74536.61538461539,90389.73913043478,,77848.48387096774,49788.5,120971.53846153847,81649.8,132589.0,108194.8,41446.0,74847.28,91499.55555555556,159016.5,105175.0,88195.375,130568.28571428571,54110.555555555555,87523.25,
1996-03-31,89228.85714285714,125253.0,97366.0,60196.705882352944,167458.47368421053,133501.61538461538,159080.2,118539.0,177732.0,92020.64,68807.76666666666,252752.66666666666,98988.0,82238.83333333333,87792.2,82074.0,73941.0,73102.21428571429,61384.0,88017.5,123256.0,139369.7142857143,83284.52173913043,94203.0,,78457.0,,87823.33333333333,161387.0,88076.83333333333,123874.5,,74386.34615384616,90568.91304347826,,77988.74193548386,49874.1,121342.46153846153,81630.93333333333,132587.0,108351.8,41426.0,74991.32,91345.55555555556,159439.5,105033.25,88277.125,130624.57142857143,54136.88888888889,87607.75,
1996-04-30,89371.0,125933.0,97911.11111111111,60251.35294117647,166889.2105263158,134145.84615384616,159385.4,118555.0,177458.0,92239.28,68975.16666666667,250805.66666666666,98831.0,82271.33333333333,88219.8,82312.0,74076.0,73411.85714285714,61783.0,87697.0,123232.6,139402.42857142858,83918.73913043478,94416.33333333333,,78816.66666666667,,88179.33333333333,161629.0,87841.0,123585.0,,74138.96153846153,90881.52173913043,,78261.32258064517,50025.85,122098.07692307692,81631.8,132543.0,108759.8,41451.0,75288.16,91169.44444444444,160232.0,104827.25,88426.875,130745.71428571429,54188.88888888889,87899.75,
1996-05-31,86432.25,126459.0,98439.0,60361.41176470588,166593.31578947368,134738.07692307694,159867.0,118560.0,177340.0,92434.8,69158.93333333333,248869.0,98737.0,82291.33333333333,88546.6,82507.6,74186.0,73674.71428571429,61999.5,87518.0,123185.4,139550.42857142858,84523.82608695653,94652.0,,79104.66666666667,,88495.66666666667,161897.5,87866.0,123355.75,,73984.46153846153,95284.0,,78525.6129032258,50158.95,122754.76923076923,81631.86666666667,132360.0,109116.0,41350.0,75600.48,91165.0,163798.33333333334,104512.0,88535.5,127725.375,54230.0,88080.0,
1996-06-30,86651.0,127076.0,98883.44444444444,60446.94117647059,166386.68421052632,135339.15384615384,160127.2,118592.0,177188.0,92588.2,69336.13333333333,246717.33333333334,98633.0,82310.83333333333,88897.0,82673.6,74318.0,73961.21428571429,62200.5,87251.5,123118.0,139770.14285714287,85130.0,94932.0,,75217.25,,88818.66666666667,162095.0,88083.66666666667,123163.0,,73861.80769230769,95691.375,,78763.83870967742,50278.55,123391.46153846153,81675.6,132052.0,109569.2,41361.0,75937.44,91253.77777777778,164244.0,104218.5,88643.0,127897.125,54270.77777777778,88374.0,
1996-07-31,86830.75,127631.0,99249.77777777778,60555.41176470588,166232.31578947368,136075.84615384616,160290.2,118593.0,177024.0,92742.16,69546.76666666666,244483.0,98542.0,82315.83333333333,89264.8,82836.6,74455.0,74234.85714285714,62286.25,87054.5,122986.4,140027.85714285713,85706.21739130435,95124.66666666667,,75351.25,,89233.0,162264.25,88334.5,122989.0,,73762.57692307692,96128.33333333333,,78990.2258064516,50402.1,123966.53846153847,81693.2,131808.0,109887.0,41376.0,76282.12,91437.66666666667,164675.0,103867.0,88744.375,128031.625,54301.666666666664,99799.0,
1996-08-31,87083.625,128076.0,99658.0,60671.94117647059,166275.26315789475,136828.84615384616,160483.4,118652.0,176917.0,92920.16,69783.0,242902.0,98586.0,82500.66666666667,89598.8,83003.8,74573.0,74526.78571428571,62535.5,86942.25,123042.2,140409.14285714287,86308.34782608696,95499.0,,75559.25,,89544.33333333333,162650.0,88439.83333333333,122890.25,,73660.69230769231,96644.20833333333,,79262.25806451614,50518.15,124578.84615384616,81806.13333333333,131795.0,110248.2,41388.0,76624.08,91571.11111111111,165106.66666666666,103528.75,88896.375,128260.375,54313.11111111111,99919.8,
1996-09-30,87210.625,128431.0,100038.66666666667,60808.470588235294,166398.05263157896,137532.3076923077,160315.2,118588.0,176939.0,93079.36,70020.06666666667,241719.66666666666,98646.0,82934.28571428571,90004.0,83189.8,74628.0,74811.64285714286,62737.25,86963.75,123186.6,140857.42857142858,86896.13043478261,95798.33333333333,,75807.25,,89856.0,163074.75,88553.83333333333,122821.0,,73586.92307692308,97081.625,,79539.6129032258,50610.05,125131.38461538461,81876.4,131941.0,110454.6,41416.0,76921.56,91729.22222222222,165556.33333333334,103180.5,89096.125,128478.75,54327.333333333336,100138.6,
1996-10-31,87385.5,128568.0,100475.55555555556,60966.82352941176,166740.42105263157,138135.84615384616,160166.4,118450.0,177074.0,93229.0,70266.3,240536.0,98740.0,83169.42857142857,90413.4,83396.2,74678.0,75093.92857142857,63012.75,87097.25,123334.0,141397.14285714287,87445.30434782608,96210.33333333333,,76132.75,,90118.33333333333,163526.0,88624.0,122846.75,,73517.73076923077,97534.45833333333,,79816.2258064516,50686.75,125697.84615384616,81981.93333333333,132195.0,110717.4,41428.0,77191.76,91801.11111111111,165957.66666666666,103052.25,89353.375,128705.125,54339.88888888889,100382.0,
